sd,mud,ratio,n_runs,n_censored,median_tfix,median_tfix_ratio,median_tfix_ratio_lo,median_tfix_ratio_hi,frac_nonzero_diff,frac_nonzero_diff_lo,frac_nonzero_diff_hi,frac_nonzero_diff_full,p_click,mean_clicks,mean_abs_dmeank,mean_fitgap,tau_fix_median_div
0.01,0.02,2.0,96,0,123823.0,0.2162781050360906,0.1854513087362745,0.2421220005433613,0.9583333333333334,0.9166666666666666,0.9895833333333334,1.0,1.0,10.359375,2.8891093764487956,0.028891093764487955,3399.6890691564454
0.01,0.04,4.0,96,0,96477.5,0.1685144995567821,0.14629631466917453,0.19605709726380385,0.9895833333333334,0.96875,1.0,1.0,1.0,26.421875,3.7506718878361593,0.03750671887836159,2648.8899652693035
0.04,0.004,0.1,96,0,444261.0,0.775978026872541,0.6159594826168807,0.9582104507614783,0.0,0.0,0.0,0.3958333333333333,0.0,0.0,0.08431918295401979,0.0033727673181607916,12197.647170174456
0.04,0.008,0.2,96,0,573524.0,1.001758024863869,0.7882936281366373,1.1970911718294333,0.0,0.0,0.0,0.65625,0.0,0.0,0.11415538479139985,0.004566215391655994,15746.697089384696
0.04,0.012,0.3,96,0,418022.0,0.7301471134070138,0.6194016956981776,0.8414225244788959,0.0,0.0,0.0,0.78125,0.0,0.0,0.14795586778779912,0.005918234711511965,11477.228173012409
0.04,0.016,0.4,96,0,449022.5,0.7842948032156223,0.6573481309403095,0.9575035900288801,0.0,0.0,0.0,0.9166666666666666,0.0,0.0,0.18519964849840473,0.007407985939936189,12328.379098029445
0.04,0.02,0.5,96,0,353990.0,0.618304243975075,0.5232773773141772,0.7368295274697416,0.010416666666666666,0.0,0.03125,0.9479166666666666,0.010416666666666666,0.005208333333333333,0.23992152473325215,0.009596860989330087,9719.16310855568
0.04,0.024,0.6,96,0,302850.5,0.5289803368455986,0.44002806481032475,0.6883052852045529,0.010416666666666666,0.0,0.03125,0.9791666666666666,0.010416666666666666,0.005208333333333333,0.33996404221791154,0.013598561688716463,8315.075021914863
0.04,0.027999999999999997,0.7,96,0,262893.5,0.4591885837550817,0.3598020116281359,0.5773777229626517,0.10416666666666667,0.052083333333333336,0.16666666666666666,1.0,0.10416666666666667,0.052083333333333336,0.34481698692083906,0.013792679476833563,7218.014087062015
0.04,0.034,0.85,96,0,138382.0,0.24170789539184392,0.1879548122647198,0.2950131471566438,0.6145833333333334,0.5104166666666666,0.7083333333333334,1.0,0.6145833333333334,0.328125,0.7166845336776054,0.02866738134710422,3799.421535320637
0.04,0.04,1.0,96,0,107184.5,0.1872161112979079,0.15988505385005505,0.20982722570006446,0.9270833333333334,0.875,0.9791666666666666,1.0,0.9791666666666666,1.046875,1.093562325679707,0.04374249302718828,2942.861770696874
0.04,0.048,1.2,96,0,86210.5,0.15058142327527105,0.1275904146971584,0.17201954085826796,0.96875,0.9270833333333334,1.0,1.0,1.0,2.8177083333333335,1.5539236134138352,0.06215694453655341,2366.998816831378
0.04,0.06,1.5,96,0,80114.5,0.1399337138166082,0.11902873334245313,0.15791973134480244,0.9791666666666666,0.9479166666666666,1.0,1.0,1.0,6.28125,2.0125985689965975,0.0805039427598639,2199.6268054475668
0.04,0.08,2.0,96,0,59080.5,0.10319422550402389,0.09179743223965763,0.12063286581376058,1.0,1.0,1.0,1.0,1.0,11.911458333333334,2.4946940461358524,0.0997877618454341,1622.116489265301
0.04,0.12,3.0,96,0,62786.5,0.10966739007977921,0.09300088970979208,0.1289232782967604,0.96875,0.9270833333333334,1.0,1.0,1.0,32.875,3.1816845050394957,0.12726738020157982,1723.868568364449
