arm,radius,theta,k,surv_k,n,p,p_lo,p_hi,anchor_arm,anchor_k,anchor_n,p_anchor,ratio,ratio_lo,ratio_hi
drclean02,0,0.4,6144,58,2000,0.029,0.02250029695161516,0.03730562782806803,driver02,41,2100,0.019523809523809523,1.4853658536585368,1.0255813953488373,2.24
drclean02,0,0.8,8,280,2000,0.14,0.12548170142943788,0.15589862324293147,driver02,283,2100,0.13476190476190475,1.0388692579505303,0.8845616678176051,1.204172794117647
drclean02,0,0.8,32,102,2000,0.051,0.04218982272001876,0.061531748885241856,driver02,78,2100,0.037142857142857144,1.3730769230769229,1.0202538845726972,1.8500735294117652
drclean02,0,0.8,128,72,2000,0.036,0.02868448710149568,0.045094598031780314,driver02,42,2100,0.02,1.7999999999999998,1.2634703389830506,2.679310344827586
drclean02,0,0.8,256,71,2000,0.0355,0.028239757624593097,0.044541244626283415,driver02,41,2100,0.019523809523809523,1.818292682926829,1.2480822523584907,2.696047297297298
drclean02,0,0.8,512,69,2000,0.0345,0.027351577595805796,0.04343325889027176,driver02,41,2100,0.019523809523809523,1.7670731707317076,1.207472074468085,2.6600625000000004
drclean02,0,0.8,2048,69,2000,0.0345,0.027351577595805796,0.04343325889027176,driver02,41,2100,0.019523809523809523,1.7670731707317076,1.2166447368421052,2.625
drclean02,0,0.8,6144,67,2000,0.0335,0.026465162003517027,0.04232350871776155,driver02,41,2100,0.019523809523809523,1.7158536585365856,1.184032398452611,2.5667672413793103
drclean02,3,0.4,8,450,450,1.0,0.9915353726939092,1.0,driver02,600,600,1.0,1.0,1.0,1.0
drclean02,3,0.4,32,421,450,0.9355555555555556,0.9089790812273705,0.9547583989859904,driver02,571,600,0.9516666666666667,0.9830706363105663,0.9530355097365406,1.0129564193168434
drclean02,3,0.4,128,257,450,0.5711111111111111,0.5249711177455374,0.6160472463709297,driver02,275,600,0.4583333333333333,1.246060606060606,1.1050032167459085,1.402482034273079
